DATE,Observation time,Showalter index,Lifted index,LIFT computed using virtual temperature,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
1995 MAY 18, 950518/0000,-1.84,-5.67,-6.54,27.8,22,25.5,47.5,2915.86,3173.4,-0.42,0,116.89,116.18,941.87,947.93,295.94,947.93,355.95,300.51,18.86,5780,50.83
1995 MAY 19, 950519/0000,0.23,-0.35,-0.97,31.2,19.6,22.3,41.9,516,605.07,-246.58,-165.42,194.53,194.49,529.1,602.33,294.76,938.96,351.99,300.13,17.68,5832,56.39
1995 MAY 21, 950521/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.18,37.55,-79,-49.85,N/A,N/A,763.45,784.29,292.31,928.35,343.23,298.61,15.37,N/A,40.98
1995 MAY 22, 950522/0000,0.52,-4.56,-5.29,38.4,18.5,26.5,45,2568.09,2726.97,-87.99,-47.84,128.7,127.64,784.17,812.16,295.79,945.94,355.6,300.55,18.79,5779,57.44
1995 MAY 23, 950523/0000,4.68,-6.09,-6.97,23.3,14.5,25.5,40,2537,2769.46,-6.56,-3.54,160.2,156.58,907,930.06,296.41,953.62,357.24,300.48,19.28,5794,49.66
1995 MAY 24, 950524/0000,0.01,-4.22,-4.89,36.54,19.44,26.29,45.74,1590.05,1757.98,-104.8,-59.35,162.9,161.97,733.13,771.88,294.61,930.52,352.78,300.76,17.69,5788,51.33
1995 MAY 25, 950525/0000,-0.49,-1.71,-2.03,33.3,19.1,26.1,45.2,325.77,368.29,-369.48,-307.49,165.84,165.49,629.49,639.16,294.16,920.38,352.46,301.24,17.4,5816,132.32
1995 MAY 26, 950526/0000,0.89,-3.86,-4.48,32.3,18.7,25.7,44.4,1241.85,1364.88,-106.93,-56.93,N/A,N/A,706.59,743.22,294.63,933.51,352.32,300.51,17.65,5798.45,54.74
1995 MAY 27, 950527/0000,-5.41,-6.49,-7.3,38.7,25.3,26.3,51.6,3242.82,3457.4,-8.93,-9.59,127.55,126.52,878.35,879.71,296.73,959.01,357.87,300.33,19.55,5769,60.45
1995 MAY 28, 950528/0000,-3.51,-5.42,-6.26,36.65,23.7,23.99,47.69,3597.07,3821.89,-9.79,-6.96,N/A,N/A,897.44,905.1,296.63,946.56,359.57,301.36,19.71,5792.2,61.17
1995 MAY 29, 950529/0000,-0.91,-4.47,-5.11,38.1,22.2,24.5,46.7,1127.29,1295.51,-5.91,-2.64,N/A,N/A,910.34,926.16,294.02,940.86,348.4,299.21,16.85,5745,49.23
1995 MAY 31, 950531/0000,-3.46,-7,-8.35,33,23.2,26.1,49.3,3896.78,4249.47,-13.54,-3.95,106.1,106.7,876.06,918.94,297.06,947.92,361.46,301.65,20.22,5787,47.21
1995 JUN 2, 950602/0000,-2.52,-8.87,-10.2,31.8,22.4,26.5,48.9,4669.54,5035.53,0,0,110.43,110.27,950.95,954.94,298.19,960.12,365.08,301.7,21.39,5779,51.79
1995 JUN 3, 950603/0000,-2.87,-6.52,-7.71,33.1,22.1,25.7,47.8,4052.76,4348.67,-24.65,-15.54,102.01,101.85,847.21,879.06,297.8,948.17,365.22,302.39,21.14,5822,59.22
1995 JUN 4, 950604/0000,1.52,-4.68,-5.35,26.3,18.3,25.3,43.6,1888.76,2087.9,-32.31,-9.27,N/A,N/A,830.2,879.06,294.67,924.17,354.13,301.4,17.99,5781,47.08
1995 JUN 5, 950605/0000,-2.03,-5.99,-6.84,34,21.4,25.9,47.3,4334.21,4571.27,-20.01,-6.46,112.56,112.13,810.2,884.8,297.32,955.48,361.4,301.24,20.36,5815,59.13
1995 JUN 6, 950606/0000,-3.62,-6.83,-7.58,32.6,23,27.1,50.1,1218.21,1399.09,-45.12,-26.95,N/A,N/A,827.33,847.98,296.48,938.85,360.21,301.9,19.69,5819,57.54
1995 JUN 7, 950607/0000,0.1,-5.59,-6.37,29.9,19.9,24.9,44.8,2215.96,2451.06,-23.14,-9.18,125.09,123.51,868.57,903.79,295.83,932.41,358.18,301.83,19.1,5808,54.13
1995 JUN 8, 950608/0000,-3.25,-6.42,-7.06,33.9,23.7,26.1,49.8,2362.05,2554.28,-10.09,-2.97,N/A,N/A,884.97,924.52,295.54,945.08,354.58,300.38,18.5,5832,55.24
1995 JUN 9, 950609/0000,-3.17,-5.59,-6.33,32,23.4,23.5,46.9,2256.85,2486.67,-2.53,-2.57,131.15,129.2,919.27,919.13,297.61,963.66,361.42,300.8,20.54,5828,63.19
1995 JUN 11, 950611/0000,0.04,-4.86,-5.53,35.9,20.6,22.3,42.9,3083.21,3302.99,-7.01,-3.58,115.36,113.99,909.42,920.22,296.99,952.16,360.34,301.2,20.05,5791,60.94
1995 JUN 12, 950612/0000,-1.58,-3.13,-3.59,34.3,21.9,21.9,43.8,2051.29,2242.98,-3.04,-3.29,122.72,121.63,911.77,911.42,296.92,963.44,358.02,300.13,19.69,5773,61.54
1995 JUN 13, 950613/0000,-2.33,-0.88,-1.05,39.6,21.3,23.1,44.4,993.12,1049.27,-692.89,-744.38,127.35,124.58,536.11,536.78,296.67,960.98,357.23,300.09,19.47,5843,89.3
1995 JUN 14, 950614/0000,0.61,-1.06,-1.23,32.8,20.4,21.5,41.9,2445.89,2535.63,-3.11,-2.62,149.86,149.91,924.95,924.97,294.75,957.19,348.93,298.48,17.31,5778,59.37
1995 JUN 15, 950615/0000,0.15,-2.03,-2.39,35.7,20.2,23.3,43.5,1358.63,1472.96,-44.08,-27.52,136,135.52,786.64,833.67,294.99,954.02,350.54,299.01,17.66,5790,58.28
1995 JUN 16, 950616/0000,-1,-1.32,-1.59,38.5,21.8,21.9,43.7,282.08,334.43,-12.65,-10.1,220.27,220.12,863.2,868.54,295.07,961.59,349.65,298.42,17.58,5801,67.69
1995 JUN 17, 950617/0000,1.17,-3.08,-4.09,8.7,19.9,22.9,42.8,681.76,973.99,-5.19,-2.06,169.65,169.61,905.04,922.43,295.08,958.94,350.12,298.66,17.66,5762,33.52
1995 JUN 18, 950618/0000,0.27,-3.26,-3.7,35.12,19.96,22.44,42.41,1052.29,1203.93,-6.65,-3.06,178.99,174.09,902.18,919.29,296.55,955.33,357.59,300.48,19.44,5819.58,65.97
1995 JUN 19, 950619/0000,-0.93,-1.8,-2.15,37.2,21.2,23.1,44.3,1168.67,1262.96,-66.69,-46.55,160.97,160.3,688.84,714.01,295.17,955.98,351.01,299.02,17.8,5787,62.2
1995 JUN 21, 950621/0000,-1.59,-3.03,-3.45,39.8,22.4,22.7,45.1,1286.24,1387.67,-5.24,-2.91,147.27,146.9,905.71,921.67,295.49,957.43,352.26,299.21,18.15,5775,64.96
1995 JUN 22, 950622/0000,-1.47,-3.07,-3.44,31.7,22.3,23.7,46,1270.55,1388.06,-14.69,-8.1,N/A,N/A,859.81,884.64,294.59,949.47,349.5,299.01,17.3,5773,56.29
1995 JUN 23, 950623/0000,-2.11,-3.73,-4.29,28.29,22.45,22.77,45.22,1874.26,2042.66,-1.98,-1.08,N/A,N/A,919.23,924.4,296.83,966.03,357.11,299.81,19.53,5788.88,63.54
1995 JUN 24, 950624/0000,1.05,38.27,38.48,34.4,19.3,22.1,41.4,0,0,0,0,N/A,N/A,N/A,N/A,267.89,917.86,282.46,274.66,3.91,5795.73,47.15
1995 JUN 25, 950625/0000,-1.35,-5.3,-6.1,31.12,21.8,23.1,44.9,4065.31,4311.81,-1.72,-1.39,107.59,107.52,928.69,930.67,297.27,959.56,360.46,300.83,20.21,5795,59.38
1995 JUN 27, 950627/0000,-0.85,-2.67,-3.05,29.47,21.27,24.87,46.14,876.13,927.71,-181.7,-110.39,185.16,185.08,577.81,589.12,294.18,951.51,347.38,298.42,16.82,5788.53,54
1995 JUN 28, 950628/0000,-2.3,-3.54,-4.08,40.5,23,23.1,46.1,1902.56,2004.27,-3.38,-3.5,136.88,135.87,906.16,906.82,296.02,966.49,353.19,298.95,18.56,5783,66.75
1995 JUN 29, 950629/0000,2.59,1.29,1.07,28.1,18.31,21.01,39.32,102.19,129.93,0,0,859.15,541.03,928.17,928.17,292.6,928.17,344.46,298.92,15.8,6276.37,48.6
1995 JUL 1, 950701/0000,4.58,-2.21,-2.72,21.1,15.5,21.5,37,1630.49,1865.78,-7.35,-2.45,149.66,149.68,894.02,925.17,296.3,951.99,357,300.52,19.23,5797,51.62
1995 JUL 2, 950702/0000,2.29,-4.11,-5.02,19.2,18.2,22.1,40.3,2583.82,2910.14,-3.99,-1.7,118.75,118.67,917.74,930.89,296.73,951.49,359.2,301.01,19.75,5786,45.24
1995 JUL 4, 950704/0000,4.59,-2.52,-3.01,21.5,15.9,21.9,37.8,1947.17,2182.38,-43.83,-32.33,144.93,144.55,868.8,884.36,295.16,940.02,353.67,300.44,18.15,5785,46.88
1995 JUL 5, 950705/0000,-3.01,-4.91,-5.76,37.6,23,24.1,47.1,3386.64,3621.91,-1.61,-0.9,118.71,118.4,926.49,932.99,297.06,960.56,359.23,300.52,19.93,5808,59.08
1995 JUL 6, 950706/0000,-1.95,-1.73,-2.1,33.6,22.4,24.5,46.9,821.71,880.45,-351.21,-333.14,141.89,141.47,589.61,590.23,292.87,926.34,345.85,299.36,15.96,5793,58.57
1995 JUL 9, 950709/0000,1.52,0.26,0.07,31.5,19.5,23.5,43,0.95,6.05,-195.45,-148.52,535.87,512,563.52,568.16,290.81,912.58,339.79,298.53,14.27,5752,47.64
1995 JUL 12, 950712/0000,-1.71,-4.13,-4.59,36.7,23.3,23.3,46.6,3800.99,3918.62,-0.06,-0.01,123.83,119.59,945.46,948.08,295.32,971.63,349.14,297.79,17.67,5756,58.46
1995 JUL 13, 950713/0000,-0.5,-2.53,-3.17,33.8,21.5,24.1,45.6,1690.02,1813.25,-40.05,-31.57,127.03,129.2,810.11,845.19,292.92,927.74,345.85,299.28,15.94,5753,51.04
1995 JUL 14, 950714/0000,0.41,-1.66,-1.99,32.4,21.4,24.5,45.9,364.95,447.01,-36.81,-19.54,273.37,274.35,821.29,836.24,290.43,913.72,338.17,298.03,13.96,5706,43.29
1995 JUL 16, 950716/0000,-0.04,-2.17,-3.01,34.9,20.4,22.5,42.9,1001.91,1163.62,-32.98,-24.05,151.49,151.29,847.76,864.61,295.3,946.39,353.24,300.02,18.15,5801,57.96
1995 JUL 17, 950717/0000,-1.72,-0.99,-1.15,36.3,21.9,24.7,46.6,1372.68,1424.19,-175.46,-160.96,142.89,142.67,662.58,705.28,293.04,936.24,344.97,298.64,15.9,5791,58.96
1995 JUL 18, 950718/0000,1.1,-0.78,-1.22,27.8,20,22.3,42.3,235.08,358.1,-50.07,-31.03,201.91,201.88,678.28,850.89,292.99,931.9,345.45,298.97,15.99,5766,48.32
1995 JUL 19, 950719/0000,1.19,-3.41,-4.08,29,19.6,22.9,42.5,2601.06,2813.85,-14.9,-10.65,132.25,132.2,885.44,899.38,295.18,945.99,352.76,299.93,18.01,5773,49.59
1995 JUL 20, 950720/0000,1.81,-2.28,-3.06,32.5,18.4,22.7,41.1,2274.89,2460.06,-30.18,-16.26,126.23,126.29,834.06,875.91,295.47,949.15,353.56,299.94,18.31,5993,52.99
1995 JUL 21, 950721/0000,1.34,-1.82,-2.36,25.2,19.2,21.7,40.9,1161.36,1336.65,-18.06,-14.37,N/A,N/A,871.68,886.18,295.64,954.74,353.39,299.61,18.35,5793,54.16
1995 JUL 22, 950722/0000,-1.76,-6.44,-7.25,29.3,22.1,27.1,49.2,2871.07,3079.66,-22.33,-10.51,N/A,N/A,849.5,894.54,294.96,946.22,351.68,299.67,17.74,5744,47.49
1995 JUL 23, 950723/0000,-2.17,-4.59,-5.14,36.1,22.8,25.1,47.9,3407.56,3557.54,-12.78,-5.55,129.59,129.58,857.22,899.05,295.03,952.31,350.98,299.2,17.73,5766,55.08
1995 JUL 24, 950724/0000,-2.87,-6.02,-6.72,37.4,23.6,25.7,49.3,1108.86,1269.69,-2.05,-0.66,N/A,N/A,927.69,939.01,295.6,957.04,352.81,299.35,18.29,5761,54.92
1995 JUL 25, 950725/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,168.77,206.09,0,0,559.11,N/A,961.94,961.94,293.33,961.94,342.15,296.62,15.86,N/A,49.02
1995 JUL 27, 950727/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.93,74.31,-5.07,-4.39,N/A,N/A,859.38,884.33,295.75,967.75,351.73,298.56,18.22,N/A,43.15
1995 JUL 28, 950728/0000,-3.05,-9.81,-10.64,36.7,23.9,28.9,52.8,6581.86,6809.14,-14.85,-8.12,N/A,N/A,892.56,911.66,295.35,950.43,352.78,299.7,18.14,5722,47.78
1995 JUL 29, 950729/0000,1.43,0.3,0.02,33.5,18.6,23.1,41.7,274.45,313.75,-258.79,-200.8,N/A,N/A,488.83,498.55,293.37,936.55,346.32,298.95,16.26,5802,55.6
1995 JUL 30, 950730/0000,0.87,-0.19,-0.62,35.9,18.7,21.7,40.4,1798.88,1859.7,-85.99,-71.74,124.08,124.07,777.57,796.54,295.05,928.98,355.07,301.36,18.19,5836,71.98
1995 AUG 1, 950801/0000,3.41,-1.64,-2.17,21.9,18.1,21.6,39.7,888.09,1063.94,-6.71,-1.69,189.23,188.03,885.81,937.9,295.37,986.71,346.96,296.62,17.53,5744.58,59.21
1995 AUG 2, 950802/0000,1.75,-1.74,-2.27,21.2,19.2,22.9,42.1,573.65,721.05,-55.96,-6.67,209.22,209.13,626.83,892.12,294.02,949.83,346.96,298.4,16.7,5769,44.37
1995 AUG 3, 950803/0000,3.24,-1.59,-2.29,21.3,17.1,22.1,39.2,1529.79,1787.18,-5.32,-0.59,N/A,N/A,846.78,937.65,295.06,946.42,352.12,299.77,17.96,5847,41.58
1995 AUG 4, 950804/0000,2.67,-2.73,-3.52,26.3,18.3,21.5,39.8,1954.29,2195.47,-0.39,-0.12,N/A,N/A,939.82,945.13,296.14,966.7,353.72,299.05,18.7,5760,48.65
1995 AUG 5, 950805/0000,2.5,-1.98,-2.24,34.1,18.1,21.5,39.6,1511.77,1638.62,-4.24,-1.38,155.21,154.93,915.08,935.72,295.64,951.93,353.85,299.85,18.45,5780,62.35
1995 AUG 6, 950806/0000,-0.31,-8.14,-9.42,37.6,19.73,24.84,44.57,5060.55,5404.95,-6.91,-4.99,N/A,N/A,913.15,921.03,299.83,970.64,372.17,302.43,23.51,5802.48,66.4
1995 AUG 7, 950807/0000,1.09,-4.52,-5.25,28.8,19.8,24.3,44.1,1565.53,1770.31,-9.44,-4.01,118.89,118.88,892.93,916.65,295.14,956.59,350.78,298.93,17.78,5752,47.83
1995 AUG 8, 950808/0000,-1.65,-5.59,-6.33,27.4,22,25.1,47.1,1621.11,1863.58,-14.04,-14.28,N/A,N/A,877.92,887.93,296.47,964.06,355.73,299.62,19.13,5775,51.99
1995 AUG 9, 950809/0000,-0.81,-2.88,-3.65,23.6,22,22.1,44.1,1239.2,1430.11,-2.03,-1.88,139.89,138.77,920.5,921.23,295.58,965.88,351.26,298.55,18.07,5770,51.15
1995 AUG 10, 950810/0000,-0.1,-5.31,-6.12,22.1,22.1,22.1,44.2,3244.36,3519.8,0,0,N/A,N/A,951.45,954.63,295.84,958.58,353.66,299.45,18.51,5719,44.66
1995 AUG 11, 950811/0000,0.17,-1.5,-1.84,36.3,19.9,23.5,43.4,866.69,949.02,-82.02,-60.6,158.33,157.2,738.02,762.2,294.53,943.79,350.16,299.46,17.33,5798,61.15
1995 AUG 13, 950813/0000,-1.47,-4.87,-5.6,31.8,22.2,23.7,45.9,2170.84,2409.12,-0.39,-0.18,N/A,N/A,942.57,945.99,296.4,964.27,355.33,299.52,19.05,5779,53.03
1995 AUG 14, 950814/0000,-0.61,-6.62,-7.52,27.9,21.3,24.7,46,4629.47,4926.9,-1.45,-0.2,118.25,118.21,930.92,942.11,296.76,960.84,357.67,300.19,19.59,5765,48.21
1995 AUG 15, 950815/0000,1.32,-3.14,-3.63,31.5,19.7,23.7,43.4,1551.29,1695.36,-19.6,-10.78,124.98,124.97,868.95,894.93,294.04,943.54,348.05,298.99,16.83,5769,50.73
1995 AUG 16, 950816/0000,0.81,3.03,3,34.2,21.4,21.7,43.1,0,0,0,0,N/A,N/A,N/A,N/A,290.99,965.77,332.56,293.92,13.58,5614,53.15
1995 AUG 17, 950817/0000,-6.05,-2.66,-3.36,46.67,24.2,25.5,49.7,2416.96,2553.97,-173.36,-190.55,113.79,113.36,702.23,707.78,297.39,956.22,361.65,301.24,20.45,5849,80.07
1995 AUG 18, 950818/0000,0.99,0.53,0.44,36.5,20.4,20.5,40.9,78.14,99.33,-5.69,-3.42,237.53,236.08,883.53,897.81,293.96,959.21,345.19,297.5,16.44,5812,63.15
1995 AUG 19, 950819/0000,-0.98,-2.98,-3.42,37.61,21.27,24.69,45.95,2053.35,2166.72,-66.9,-49.24,N/A,N/A,787.84,804.05,294.69,951.37,349.63,298.96,17.39,5769.28,57.27
1995 AUG 20, 950820/0000,1.34,-1.46,-1.75,31.9,20.1,23.1,43.2,390.26,461.8,-8.56,-3.08,171.83,166.96,891.36,927.19,292.87,943.78,343.09,297.77,15.74,5745,48.72
1995 AUG 21, 950821/0000,-2,-4.84,-5.43,37.8,22.7,22.7,45.4,2967.22,3132.57,0,0,126.21,125.65,957.12,960.48,297.18,968.92,358.35,299.9,19.91,5789,66.4
1995 AUG 23, 950823/0000,-3.09,-3.28,-3.66,39.3,23.5,23.5,47,968.95,1058.88,0,0,N/A,N/A,959.39,961.71,295.96,965.99,353,298.93,18.51,5785,67.48
1995 AUG 24, 950824/0000,-2.09,-4.07,-4.59,19,23.2,23.9,47.1,1572.39,1741.08,-6.6,-3.89,N/A,N/A,902.73,917.3,294.72,949.48,350.08,299.14,17.43,5764,53.14
1995 AUG 25, 950825/0000,2,-1.69,-1.97,31.5,19.1,24.1,43.2,1020.4,1085.97,-65.35,-22.49,164.7,163.79,677.37,708.18,291.05,903.52,342.13,299.62,14.68,5741,47.49
1995 AUG 26, 950826/0000,0.69,-2.49,-2.94,31.8,20.8,22.7,43.5,2616.51,2760.5,0,0,123.67,123.5,959.49,960.73,294.4,960.73,346.85,297.81,16.9,5739,51.26
1995 AUG 27, 950827/0000,-2.4,-3.41,-3.78,40.3,23.1,23.1,46.2,2112.15,2221.11,-8.07,-8.84,N/A,N/A,891.35,891.22,295.79,962.48,352.79,299.07,18.37,5772,65.19
1995 AUG 28, 950828/0000,-0.9,-1.14,-1.4,36,21.6,21.7,43.3,1267.77,1360.19,-21.94,-18.52,146.85,146.64,855.43,858.16,294.97,954.94,350.27,298.9,17.59,5780,62.37
1995 AUG 29, 950829/0000,-2.49,-0.3,-0.39,41,22.9,22.9,45.8,396.9,425.09,-206.65,-234.52,194.18,193.66,610.15,610.15,293.26,933.71,346.31,299.08,16.18,5797,70.11
1995 AUG 30, 950830/0000,0.8,-2.54,-3.08,32.2,20.5,20.7,41.2,1136.7,1296.39,-0.94,-0.63,N/A,N/A,935.64,939.5,296.2,968.01,353.76,298.98,18.73,5777,58.58
1995 AUG 31, 950831/0000,3.25,-2.56,-3.01,30.6,17.7,22.5,40.2,2046.23,2193.08,-31.75,-18.5,N/A,N/A,877.37,893.32,294.45,943.99,349.77,299.36,17.33,5761,52.36
1995 SEP 1, 950901/0000,-2.74,-2.17,-2.58,38.1,23.1,24.5,47.6,2238.05,2349.63,-74.32,-63.63,128.49,128.23,757.28,772.53,293.78,939.42,347.58,299.1,16.66,5780,55.33
1995 SEP 2, 950902/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.42,96.57,-23.3,-11.91,N/A,N/A,874.66,899.53,293.67,936.18,347.67,299.29,16.62,N/A,35.47
1995 SEP 3, 950903/0000,5.54,2.4,1.69,21.5,15.3,19.3,34.6,2.11,45.24,-40.37,-21.56,780.01,581.64,819.11,847.3,293.02,929.21,346.03,299.25,16.24,5778.72,43.45
1995 SEP 4, 950904/0000,-0.56,-1.13,-2.04,34.2,21,21.7,42.7,941.12,1111.34,-25.55,-23.27,181.94,180.91,842.67,849.62,295.25,952.43,351.97,299.42,17.95,5790,56.62
1995 SEP 5, 950905/0000,0.09,-3.45,-4.3,32.3,21.5,21.5,43,2276.13,2482.81,0,0,135.06,134.56,962.25,964.78,295.98,970.62,352.32,298.54,18.45,5755,52.25
1995 SEP 6, 950906/0000,3.36,-1.76,-2.61,27.4,17.6,22.3,39.9,616.94,806.57,-0.77,-0.15,175.21,174.47,937.67,946.83,294.82,964.06,348.12,297.94,17.28,5763,45.75
1995 SEP 7, 950907/0000,0.49,-2.42,-2.99,28.8,20.2,23.7,43.9,795.64,972.13,-48.12,-25.9,N/A,N/A,737.71,854.29,294.48,954.04,348.27,298.49,17.1,5760,46.24
1995 SEP 9, 950909/0000,0.73,47.4,47.76,32,19.6,23.3,42.9,0,0,0,0,N/A,N/A,N/A,N/A,261.68,959.34,269.42,264.9,3.79,5793,49.05
1995 SEP 10, 950910/0000,2.96,-6.81,-7.44,24.1,17.7,25.7,43.4,4551.28,4794.37,-0.05,0,132.08,131.53,950.37,954.71,295.38,958.28,351.61,299.02,18.01,5725,44.46
1995 SEP 11, 950911/0000,3.38,-2.46,-3.13,29.3,16.7,22.7,39.4,1892.92,2120.41,-8.3,-4.38,130.78,129.65,848.23,921.31,295.65,950.68,354.11,299.97,18.44,5786,49.5
1995 SEP 12, 950912/0000,0.71,-2.07,-2.7,31.3,20.3,21.9,42.2,885.52,1045.82,-2.33,-1.43,183,181.36,923.28,930.85,295.31,962.12,350.65,298.61,17.84,5776,55.21
1995 SEP 13, 950913/0000,0.53,-4.06,-4.75,19.4,20.4,24.3,44.7,2814.52,3054.97,-16.88,-9.77,121.41,121.43,876.44,899.68,294.49,946.85,349.47,299.14,17.24,5758,41.74
1995 SEP 14, 950914/0000,3.06,-1.77,-2.46,15.6,17.2,22.1,39.3,578.33,761.49,-27.18,-17.43,165.14,163.7,847.08,880.62,295.58,954.07,353.23,299.6,18.31,5807,49.28
1995 SEP 15, 950915/0000,2.12,-3.67,-4.44,32.6,18.8,22.9,41.7,1297.35,1497.04,-4.96,-4.51,148.68,148.38,911.58,918.55,295.44,955.29,352.37,299.35,18.11,5779,53.4
1995 SEP 18, 950918/0000,1.74,-2.06,-2.62,32.6,19,23.1,42.1,637.85,761.46,-56.85,-26.72,197.96,197.76,654.63,870.52,293.81,935.61,348.37,299.48,16.76,5785,52.08
1995 SEP 19, 950919/0000,-1.89,-4.26,-4.94,31.1,22.7,25.3,48,1847.54,1974.25,-111.31,-17.53,N/A,N/A,635.5,864.27,294.27,947.64,348.38,298.85,16.98,5761,49.72
1995 SEP 20, 950920/0000,4.86,-2.16,-3.08,27.6,15.9,22.9,38.8,165.1,347.85,-20.5,-8.15,N/A,N/A,865.83,898.83,293.72,941.56,347.01,298.85,16.6,5750.98,34.93
1995 SEP 21, 950921/0000,-2.39,90.71,91,36.7,23.4,24.5,47.9,0,0,0,0,N/A,N/A,N/A,N/A,194.2,720.68,213.25,213.29,1.8,5753,40.29
1995 SEP 22, 950922/0000,-2.2,-3.38,-3.9,39.7,22.9,22.9,45.8,1479.84,1620.92,-10.08,-8.58,N/A,N/A,891.3,896.19,295.93,963.46,353.28,299.12,18.52,5784,62.31
1995 SEP 23, 950923/0000,0.4,-5.56,-6.3,27.2,20.8,24.7,45.5,1551.92,1794.99,-1.83,-0.58,N/A,N/A,927.26,939.92,295.43,963.68,350.91,298.59,17.95,5744,43.52
1995 SEP 24, 950924/0000,-0.45,N/A,N/A,31.2,20.8,23.9,44.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,5860,5860
1995 SEP 28, 950928/0000,-0.6,-3.18,-3.86,37.1,21.8,22.3,44.1,1972.88,2127.51,-12.67,-7.61,143.13,142.77,896.5,908.43,295.08,950.49,351.52,299.41,17.82,5780,58.78
1995 SEP 29, 950929/0000,2.44,-6.92,-7.61,12.25,19.1,26.1,45.2,2929.28,3199.79,0,0,N/A,N/A,960.87,963.34,294.27,963.34,345.85,297.44,16.72,5683,32.27
1995 OCT 1, 951001/0000,-3.68,-5.84,-6.91,40.5,23.9,23.9,47.8,3724.85,3950.7,-9.41,-9.99,116.6,116.15,908.82,909.61,297.31,958.15,360.91,300.99,20.3,5803,64.94
1995 OCT 3, 951003/0000,3.31,0.63,0.25,32.4,17,21.1,38.1,385.28,395.23,-217.61,-125.74,155.1,154.1,361.08,361.65,293.95,934,349.22,299.76,16.89,5810,59.29
1995 OCT 4, 951004/0000,-3,-3.58,-3.93,37.5,23.7,23.7,47.4,1197.37,1291.61,-1.65,-1.56,145.69,145.19,922.22,921.96,295.73,968.19,351.56,298.5,18.19,5786,65.04
1995 OCT 5, 951005/0000,-2.2,-3.87,-4.27,36.9,23,23.1,46.1,2201.43,2332.03,-1.26,-1.04,138.8,137.97,926.98,929.02,296.17,968.59,353.54,298.91,18.69,5771,63.4
1995 OCT 7, 951007/0000,-3.21,-4.86,-5.36,40.9,23.3,25.3,48.6,2578.6,2710.02,-35.92,-26.15,119.57,119.2,833.09,850.9,295.43,941.27,354.69,300.61,18.39,5787,63.15
1995 OCT 9, 951009/0000,-1.09,-3.29,-3.63,36.5,22.1,22.9,45,1211.84,1327.48,-10.08,-7.22,164.28,162.77,892.78,902.28,295.27,957.23,351.27,299.01,17.89,5758,60.46
1995 OCT 10, 951010/0000,1.52,-3.11,-3.71,29.9,18.9,23.9,42.8,1524.87,1708.99,-31.57,-19.13,146.38,146.01,824.26,873.03,294.95,951.43,350.77,299.2,17.65,5775,49.59
1995 OCT 11, 951011/0000,-0.7,-2.36,-2.83,37.9,21.5,21.7,43.2,1391.37,1532,-3.53,-2.7,199.16,197.86,909.57,914.84,295.96,964.52,353.21,299.05,18.53,5789,63.34
1995 OCT 12, 951012/0000,-0.17,-4.74,-5.6,28.1,19.3,26.3,45.6,3165.11,3426.79,-90.25,-61.06,119.2,118.97,802.09,830.08,295.76,938.38,356.76,301.21,18.85,5799,46.64
1995 OCT 15, 951015/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0
1995 OCT 16, 951016/0000,-0.47,-4.39,-5.12,15.7,21.3,22.7,44,2604.66,2871.27,-0.34,-0.14,127.91,126.62,942.9,946.49,296.61,964.57,356.32,299.71,19.3,5773,50.21
1995 OCT 17, 951017/0000,9.93,-0.19,-0.78,6.99,7.27,24.1,31.37,28.24,127.28,-237.1,-84.51,N/A,N/A,601.61,699,292.4,913.78,345.96,300.07,15.91,5776.42,33.24
1995 OCT 18, 951018/0000,-0.51,-5.38,-6.05,31,22,22.1,44.1,1337.53,1554.62,-0.51,-0.24,N/A,N/A,943.8,947.11,296.63,961.73,356.91,299.98,19.38,5766,67.08
1995 OCT 19, 951019/0000,-2.08,-4.17,-4.67,38.2,22.8,23.7,46.5,2607.37,2674.93,-11.59,-7.4,148.86,148.73,890.65,904.44,295.38,948.54,353.23,299.9,18.19,5778,70.41
1995 OCT 20, 951020/0000,-1.35,-5.16,-5.89,35,21.8,24.3,46.1,3120.97,3331.97,-6.65,-4.01,123.99,123.37,900.94,915.64,296.32,956.93,356.23,300.1,19.11,5787,57.26
1995 OCT 25, 951025/0000,-2.98,-6.06,-6.67,35.69,23.39,25.8,49.19,3370.29,3553.18,-16.41,-9.58,147.87,147.86,872.98,892.92,295.83,952.38,354.7,300.01,18.65,5771,56.51
